id,gravidade,risco
1,13.246781,1
2,53.739088,3
3,59.597206,3
4,30.512045,2
5,47.206685,2
6,72.143031,3
7,54.076563,3
8,48.386928,2
9,40.0,2
10,41.969857,2
11,64.674411,3
12,13.224608,1
13,13.658524,1
14,25.170488,2
15,72.717441,3
16,56.614195,3
17,37.340252,2
18,13.222719000000001,1
19,13.232114,1
20,14.022749,1
21,30.628805,2
22,47.043334,2
23,72.717441,3
24,32.58361,2
25,42.468239,2
26,34.845109,2
27,24.388809,1
28,52.736323,3
29,27.401601,2
30,68.155119,3
31,29.730373,2
32,26.446034,2
33,40.0,2
34,59.831392,3
35,40.0,2
36,38.93475,2
37,66.543559,3
38,30.628805,2
39,40.0,2
40,27.122607,2
41,56.691859,3
42,40.0,2
43,47.068801,2
44,60.758426,3
45,47.043334,2
46,57.84547,3
47,29.167781,2
48,68.745297,3
49,34.845109,2
50,28.117106,2
51,27.122607,2
52,44.245857,2
53,24.703411,1
54,17.96444,1
55,55.64386,3
56,53.043575,3
57,38.14366,2
58,53.971396,3
59,25.170488000000002,2
60,41.200082,2
61,29.163942,2
62,50.008174999999994,2
63,30.274143,2
64,49.051233,2
65,67.116141,3
66,37.12031,2
67,47.815686,2
68,48.051479,2
69,13.536814,1
70,65.004885,3
71,13.222719000000005,1
72,14.247813,1
73,13.222719000000005,1
74,72.717441,3
75,30.95115,2
76,49.800815,2
77,54.076563,3
78,58.071847,3
79,40.0,2
80,40.0,2
81,25.170488,2
82,40.0,2
83,24.188358,1
84,46.724307,2
85,40.0,2
86,65.648902,3
87,13.267135,1
88,20.405836,1
89,65.648902,3
90,57.424511,3
91,50.008174999999994,2
92,43.529573,2
93,63.610405,3
94,50.912984,3
95,48.52781,2
96,41.200082,2
97,47.794424,2
98,25.170488,2
99,72.726866,3
100,25.123841,2
101,38.86651,2
102,13.658524,1
103,32.007096,2
104,34.673129,2
105,14.029525,1
106,42.687542,2
107,20.735624,1
108,24.681512,1
109,44.895759,2
110,60.018396,3
111,58.406172,3
112,41.200082,2
113,26.446034,2
114,32.58361,2
115,61.162697,3
116,53.108998,3
117,25.170488,2
118,13.384378,1
119,67.98485699999999,3
120,79.563782,4
121,27.122607,2
122,30.95115,2
123,72.827543,3
124,28.117106,2
125,39.104665,2
126,38.823055,2
127,27.11725,2
128,37.902399,2
129,47.043334,2
130,13.29371,1
131,56.195894,3
132,37.477275,2
133,26.904847,2
134,43.397304,2
135,22.840612,1
136,39.069982,2
137,13.297967,1
138,25.170488,2
139,56.886037,3
140,51.41072,3
141,13.246591,1
142,25.057165,2
143,40.0,2
144,40.0,2
145,47.206685,2
146,54.55278,3
147,62.964197,3
148,33.337473,2
149,26.070084,2
150,39.014763,2
151,35.60631,2
152,39.043462,2
153,13.416866,1
154,34.67012,2
155,50.438142,3
156,36.019602,2
157,68.18791099999999,3
158,40.0,2
159,28.660664,2
160,61.162697,3
161,40.0,2
162,65.3834895,3
163,37.290774,2
164,13.519376,1
165,27.02726,2
166,52.587267,3
167,67.116141,3
168,47.841193,2
169,50.902256,3
170,58.507726,3
171,63.747598,3
172,29.730373,2
173,32.086214,2
174,27.122607,2
175,47.79638,2
176,50.902256,3
177,58.70996,3
178,13.297967,1
179,69.375639,3
180,25.087084,2
181,44.814674,2
182,68.32139325,3
183,35.344293,2
184,38.9089385,2
185,37.798126,2
186,72.925842,3
187,37.835699,2
188,40.0,2
189,40.265853,2
190,70.068972,3
191,13.222719000000001,1
192,13.269006,1
193,59.941831,3
194,56.499156,3
195,44.464851,2
196,67.61064,3
197,25.170488000000002,2
198,48.425147,2
199,32.948143,2
200,13.779038,1
201,47.553789,2
202,84.728899,4
203,40.0,2
204,54.91929,3
205,24.87923,1
206,56.224254,3
207,13.222719000000005,1
208,44.464851,2
209,25.079877,2
210,45.418414,2
211,33.24704,2
212,46.958595,2
213,53.043575,3
214,22.840612,1
215,14.022749,1
216,54.076563,3
217,14.247813,1
